port	year	month	month_index	quarter	tons_port_m	tons_source	tons_portrow_m	tons_entrant_sum_m
Ashdod	2013	8	24164	Q3	1579696.3	port_row	1579696.3	
Ashdod	2013	9	24165	Q3	1322822.7	port_row	1322822.7	
Ashdod	2013	10	24166	Q4	1568714.3	port_row	1568714.3	
Ashdod	2013	11	24167	Q4	1530275.5	port_row	1530275.5	
Ashdod	2013	12	24168	Q4	1504203.0999999999	port_row	1504203.0999999999	
Ashdod	2014	1	24169	Q1	1920064.883	port_row	1920064.883	
Ashdod	2014	2	24170	Q1	1837724.096	port_row	1837724.096	
Ashdod	2014	3	24171	Q1	1921768.1609999998	port_row	1921768.1609999998	
Ashdod	2014	4	24172	Q2	1454077.0480000002	port_row	1454077.0480000002	
Ashdod	2014	5	24173	Q2	1832208.2210000001	port_row	1832208.2210000001	
Ashdod	2014	6	24174	Q2	1814163.9009999998	port_row	1814163.9009999998	
Ashdod	2014	7	24175	Q3	1669554.369	port_row	1669554.369	
Ashdod	2014	8	24176	Q3	1855631.2049999998	port_row	1855631.2049999998	
Ashdod	2014	9	24177	Q3	1830413.568	port_row	1830413.568	
Ashdod	2014	10	24178	Q4	1705707.7010000001	port_row	1705707.7010000001	
Ashdod	2014	11	24179	Q4	1659022.872	port_row	1659022.872	
Ashdod	2014	12	24180	Q4	2054402.6770000001	port_row	2054402.6770000001	
Ashdod	2015	1	24181	Q1	1752376.553	port_row	1752376.553	
Ashdod	2015	2	24182	Q1	1546442.546	port_row	1546442.546	
Ashdod	2015	3	24183	Q1	2052655.4500000002	port_row	2052655.4500000002	
Ashdod	2015	4	24184	Q2	1594157.53	port_row	1594157.53	
Ashdod	2015	5	24185	Q2	1938223.863	port_row	1938223.863	
Ashdod	2015	6	24186	Q2	2029901.66	port_row	2029901.66	
Ashdod	2015	7	24187	Q3	1931978.1330000001	port_row	1931978.1330000001	
Ashdod	2015	8	24188	Q3	1944713.4430000002	port_row	1944713.4430000002	
Ashdod	2015	9	24189	Q3	1667770.489	port_row	1667770.489	
Ashdod	2015	10	24190	Q4	1884551.243	port_row	1884551.243	
Ashdod	2015	11	24191	Q4	1913449.846	port_row	1913449.846	
Ashdod	2015	12	24192	Q4	2017264.0960000001	port_row	2017264.0960000001	
Ashdod	2016	1	24193	Q1	1850074.737	port_row	1850074.737	
Ashdod	2016	2	24194	Q1	1876305.2929999998	port_row	1876305.2929999998	
Ashdod	2016	3	24195	Q1	2190340.875	port_row	2190340.875	
Ashdod	2016	4	24196	Q2	1900095.204	port_row	1900095.204	
Ashdod	2016	5	24197	Q2	2343729.806	port_row	2343729.806	
Ashdod	2016	6	24198	Q2	2160076.032	port_row	2160076.032	
Ashdod	2016	7	24199	Q3	1969651.699	port_row	1969651.699	
Ashdod	2016	8	24200	Q3	2200069.23	port_row	2200069.23	
Ashdod	2016	9	24201	Q3	2060654.845	port_row	2060654.845	
Ashdod	2016	10	24202	Q4	1535362.4	port_row	1535362.4	
Ashdod	2016	11	24203	Q4	2083301.0	port_row	2083301.0	
Ashdod	2016	12	24204	Q4	1916756.8	port_row	1916756.8	
Ashdod	2017	1	24205	Q1	2046010.2999999998	port_row	2046010.2999999998	
Ashdod	2017	2	24206	Q1	1859265.7999999998	port_row	1859265.7999999998	
Ashdod	2017	3	24207	Q1	2044830.4000000001	port_row	2044830.4000000001	
Ashdod	2017	4	24208	Q2	1860419.625	port_row	1860419.625	
Ashdod	2017	5	24209	Q2	2052046.3	port_row	2052046.3	
Ashdod	2017	6	24210	Q2	1974351.0	port_row	1974351.0	
Ashdod	2017	7	24211	Q3	2107158.249	port_row	2107158.249	
Ashdod	2017	8	24212	Q3	2045322.7110000001	port_row	2045322.7110000001	
Ashdod	2017	9	24213	Q3	1813764.76	port_row	1813764.76	
Ashdod	2017	10	24214	Q4	1845309.195	port_row	1845309.195	
Ashdod	2017	11	24215	Q4	2051298.1469999999	port_row	2051298.1469999999	
Ashdod	2017	12	24216	Q4	1884772.599	port_row	1884772.599	
Ashdod	2018	1	24217	Q1	2003195.046	port_row	2003195.046	
Ashdod	2018	2	24218	Q1	1853087.047	port_row	1853087.047	
Ashdod	2018	3	24219	Q1	1899461.314	port_row	1899461.314	
Ashdod	2018	4	24220	Q2	1925889.287	port_row	1925889.287	
Ashdod	2018	5	24221	Q2	1982586.069	port_row	1982586.069	
Ashdod	2018	6	24222	Q2	1971086.063	port_row	1971086.063	
Ashdod	2018	7	24223	Q3	2204184.377	port_row	2204184.377	
Ashdod	2018	8	24224	Q3	2189938.196	port_row	2189938.196	
Ashdod	2018	9	24225	Q3	1524789.63	port_row	1524789.63	
Ashdod	2018	10	24226	Q4	2025302.49	port_row	2025302.49	
Ashdod	2018	11	24227	Q4	2055397.323	port_row	2055397.323	
Ashdod	2018	12	24228	Q4	1840130.271	port_row	1840130.271	
Ashdod	2019	1	24229	Q1	1957516.591	port_row	1957516.591	
Ashdod	2019	2	24230	Q1	1858875.069	port_row	1858875.069	
Ashdod	2019	3	24231	Q1	1896987.78	port_row	1896987.78	
Ashdod	2019	4	24232	Q2	2000467.108	port_row	2000467.108	
Ashdod	2019	5	24233	Q2	2054487.8950000003	port_row	2054487.8950000003	
Ashdod	2019	6	24234	Q2	1958733.9710000001	port_row	1958733.9710000001	
Ashdod	2019	7	24235	Q3	2197893.836	port_row	2197893.836	
Ashdod	2019	8	24236	Q3	2181836.7509999997	port_row	2181836.7509999997	
Ashdod	2019	9	24237	Q3	1892738.77	port_row	1892738.77	
Ashdod	2019	10	24238	Q4	1792693.28	port_row	1792693.28	
Ashdod	2019	11	24239	Q4	1982382.752	port_row	1982382.752	
Ashdod	2019	12	24240	Q4	1815306.523	port_row	1815306.523	
Ashdod	2020	1	24241	Q1	1835242.0999999999	port_row	1835242.0999999999	
Ashdod	2020	2	24242	Q1	1933438.078	port_row	1933438.078	
Ashdod	2020	3	24243	Q1	1856792.1169999999	port_row	1856792.1169999999	
Ashdod	2020	4	24244	Q2	1850266.5050000001	port_row	1850266.5050000001	
Ashdod	2020	5	24245	Q2	1997070.614	port_row	1997070.614	
Ashdod	2020	6	24246	Q2	2044783.716	port_row	2044783.716	
Ashdod	2020	7	24247	Q3	2081313.4279999998	port_row	2081313.4279999998	
Ashdod	2020	8	24248	Q3	2099862.499	port_row	2099862.499	
Ashdod	2020	9	24249	Q3	1946341.7999999998	port_row	1946341.7999999998	
Ashdod	2020	10	24250	Q4	2106747.689	port_row	2106747.689	
Ashdod	2020	11	24251	Q4	2089987.7999999998	port_row	2089987.7999999998	
Ashdod	2020	12	24252	Q4	2131800.0379999997	port_row	2131800.0379999997	
Ashdod	2021	1	24253	Q1	1978636.9	port_row	1978636.9	
Ashdod	2021	2	24254	Q1	1874818.0	port_row	1874818.0	
Ashdod	2021	3	24255	Q1	2055116.9	port_row	2055116.9	
Ashdod	2021	4	24256	Q2	1879225.8	port_row	1879225.8	
Ashdod	2021	5	24257	Q2	1939299.0	port_row	1939299.0	
Ashdod	2021	6	24258	Q2	2051865.6	port_row	2051865.6	
Ashdod	2021	7	24259	Q3	1922524.0	port_row	1922524.0	
Ashdod	2021	8	24260	Q3	2207186.2	port_row	2207186.2	9638.199999999999
Ashdod	2021	9	24261	Q3	1624674.2	port_row	1624674.2	8030.799999999999
Ashdod	2021	10	24262	Q4	1923009.5	port_row	1923009.5	9805.0
Ashdod	2021	11	24263	Q4	2204187.1999999997	port_row	2204187.1999999997	8845.2
Ashdod	2021	12	24264	Q4	1927213.6	port_row	1927213.6	12496.4
Ashdod	2022	1	24265	Q1	1721866.8	port_row	1721866.8	12510.18
Ashdod	2022	2	24266	Q1	1906141.4	port_row	1906141.4	16968.18
Ashdod	2022	3	24267	Q1	2069856.9000000001	port_row	2069856.9000000001	14723.4
Ashdod	2022	4	24268	Q2	1853583.5999999999	port_row	1853583.5999999999	23690.2
Ashdod	2022	5	24269	Q2	2106472.8	port_row	2106472.8	56551.6
Ashdod	2022	6	24270	Q2	1862577.5	port_row	1862577.5	65319.074
Ashdod	2022	7	24271	Q3	1773857.0999999999	port_row	1773857.0999999999	114924.8
Ashdod	2022	8	24272	Q3	1982143.7000000002	port_row	1982143.7000000002	140682.368
Ashdod	2022	9	24273	Q3	1612166.0	port_row	1612166.0	200778.11
Ashdod	2022	10	24274	Q4	1478682.1	port_row	1478682.1	130114.56559999999
Ashdod	2022	11	24275	Q4	1613172.0	port_row	1613172.0	241208.515
Ashdod	2022	12	24276	Q4	1754065.1	port_row	1754065.1	187668.07
Ashdod	2023	1	24277	Q1	1812451.1	port_row	1812451.1	258278.23665
Ashdod	2023	2	24278	Q1	1508859.5	port_row	1508859.5	283199.840693
Ashdod	2023	3	24279	Q1	1710729.4	port_row	1710729.4	278018.026541
Ashdod	2023	4	24280	Q2	1328739.8	port_row	1328739.8	391020.456997
Ashdod	2023	5	24281	Q2	1703804.9000000001	port_row	1703804.9000000001	534109.988779999
Ashdod	2023	6	24282	Q2	1825308.2	port_row	1825308.2	515324.783153
Ashdod	2023	7	24283	Q3	1688590.8	port_row	1688590.8	354185.78699562
Ashdod	2023	8	24284	Q3	1693768.3	port_row	1693768.3	448523.403704
Ashdod	2023	9	24285	Q3	1601157.0	port_row	1601157.0	484714.013363
Ashdod	2023	10	24286	Q4	1353355.6	port_row	1353355.6	339460.035671
Ashdod	2023	11	24287	Q4	1405591.0	port_row	1405591.0	250565.69282
Ashdod	2023	12	24288	Q4	1368176.6	port_row	1368176.6	145001.31436999998
Ashdod	2024	1	24289	Q1	1322543.7999999998	port_row	1322543.7999999998	172316.843482
Ashdod	2024	2	24290	Q1	1688545.2	port_row	1688545.2	301566.288237
Ashdod	2024	3	24291	Q1	1676087.4	port_row	1676087.4	404137.175067999
Ashdod	2024	4	24292	Q2	1550867.2999999998	port_row	1550867.2999999998	447052.43409
Ashdod	2024	5	24293	Q2	1674636.9	port_row	1674636.9	612965.040907001
Ashdod	2024	6	24294	Q2	1530292.5	port_row	1530292.5	557492.796
Ashdod	2024	7	24295	Q3	1701165.7	port_row	1701165.7	618378.3988699999
Ashdod	2024	8	24296	Q3	1743592.9000000001	port_row	1743592.9000000001	604186.649428001
Ashdod	2024	9	24297	Q3	1776113.7000000002	port_row	1776113.7000000002	561265.311859
Ashdod	2024	10	24298	Q4	1431902.7000000002	port_row	1431902.7000000002	486900.45149899996
Ashdod	2024	11	24299	Q4	1590222.6	port_row	1590222.6	560874.9182579999
Ashdod	2024	12	24300	Q4	2013631.5999999999	port_row	2013631.5999999999	524650.456194001
Ashdod	2025	1	24301	Q1	1870507.5	port_row	1870507.5	445801.58999999997
Ashdod	2025	2	24302	Q1	1485993.5	port_row	1485993.5	500210.11199999996
Ashdod	2025	3	24303	Q1	1896035.5	port_row	1896035.5	525431.921
Ashdod	2025	4	24304	Q2	1655904.2	port_row	1655904.2	598791.196
Ashdod	2025	5	24305	Q2	1806261.0	port_row	1806261.0	542021.422
Ashdod	2025	6	24306	Q2	1755260.6	port_row	1755260.6	501414.744
Ashdod	2025	7	24307	Q3	1764887.7	port_row	1764887.7	914638.2710000001
Ashdod	2025	8	24308	Q3	1714340.0	port_row	1714340.0	604286.0090000001
Haifa	2008	1	24097	Q1	1575343.0	port_row	1575343.0	
Haifa	2008	2	24098	Q1	1212838.0	port_row	1212838.0	
Haifa	2008	3	24099	Q1	1785073.0	port_row	1785073.0	
Haifa	2008	4	24100	Q2	1769230.0	port_row	1769230.0	
Haifa	2008	5	24101	Q2	1813838.0	port_row	1813838.0	
Haifa	2008	6	24102	Q2	1688466.0	port_row	1688466.0	
Haifa	2008	7	24103	Q3	1763813.0	port_row	1763813.0	
Haifa	2008	8	24104	Q3	1733596.0	port_row	1733596.0	
Haifa	2008	9	24105	Q3	1469086.0	port_row	1469086.0	
Haifa	2008	10	24106	Q4	1692932.0	port_row	1692932.0	
Haifa	2008	11	24107	Q4	1596689.0	port_row	1596689.0	
Haifa	2008	12	24108	Q4	1711888.0	port_row	1711888.0	
Haifa	2010	1	24121	Q1	1674912.0	port_row	1674912.0	
Haifa	2010	2	24122	Q1	1615840.0	port_row	1615840.0	
Haifa	2010	3	24123	Q1	1954480.0	port_row	1954480.0	
Haifa	2010	4	24124	Q2	1877809.0	port_row	1877809.0	
Haifa	2010	5	24125	Q2	1899701.0	port_row	1899701.0	
Haifa	2010	6	24126	Q2	1939198.0	port_row	1939198.0	
Haifa	2010	7	24127	Q3	1990747.0	port_row	1990747.0	
Haifa	2010	8	24128	Q3	1936847.0	port_row	1936847.0	
Haifa	2010	9	24129	Q3	1774372.0	port_row	1774372.0	
Haifa	2010	10	24130	Q4	1767699.3	port_row	1767699.3	
Haifa	2010	11	24131	Q4	1721241.2	port_row	1721241.2	
Haifa	2010	12	24132	Q4	1684631.9000000001	port_row	1684631.9000000001	
Haifa	2011	1	24133	Q1	1525170.5	port_row	1525170.5	
Haifa	2011	2	24134	Q1	1737424.8	port_row	1737424.8	
Haifa	2011	3	24135	Q1	2080636.8000000003	port_row	2080636.8000000003	
Haifa	2011	4	24136	Q2	1911060.5	port_row	1911060.5	
Haifa	2011	5	24137	Q2	2014700.1	port_row	2014700.1	
Haifa	2011	6	24138	Q2	2141537.9	port_row	2141537.9	
Haifa	2011	7	24139	Q3	1949421.1	port_row	1949421.1	
Haifa	2011	8	24140	Q3	2038212.0	port_row	2038212.0	
Haifa	2011	9	24141	Q3	1656888.0999999999	port_row	1656888.0999999999	
Haifa	2011	10	24142	Q4	2000285.3	port_row	2000285.3	
Haifa	2011	11	24143	Q4	1854520.2	port_row	1854520.2	
Haifa	2011	12	24144	Q4	1642383.5999999999	port_row	1642383.5999999999	
Haifa	2012	1	24145	Q1	2052133.5	port_row	2052133.5	
Haifa	2012	2	24146	Q1	1620415.9	port_row	1620415.9	
Haifa	2012	3	24147	Q1	2278564.5	port_row	2278564.5	
Haifa	2012	4	24148	Q2	2064399.1999999997	port_row	2064399.1999999997	
Haifa	2012	5	24149	Q2	2277282.7	port_row	2277282.7	
Haifa	2012	6	24150	Q2	1909408.7999999998	port_row	1909408.7999999998	
Haifa	2012	7	24151	Q3	2015107.2999999998	port_row	2015107.2999999998	
Haifa	2012	8	24152	Q3	2057228.5999999999	port_row	2057228.5999999999	
Haifa	2012	9	24153	Q3	1826906.8	port_row	1826906.8	
Haifa	2012	10	24154	Q4	1994132.0	port_row	1994132.0	
Haifa	2012	11	24155	Q4	1874525.5	port_row	1874525.5	
Haifa	2012	12	24156	Q4	2018011.4000000001	port_row	2018011.4000000001	
Haifa	2013	1	24157	Q1	2187571.4	port_row	2187571.4	
Haifa	2013	2	24158	Q1	2106727.9	port_row	2106727.9	
Haifa	2013	3	24159	Q1	2219355.0	port_row	2219355.0	
Haifa	2013	4	24160	Q2	2419272.5999999996	port_row	2419272.5999999996	
Haifa	2013	5	24161	Q2	2464014.4	port_row	2464014.4	
Haifa	2013	6	24162	Q2	2137980.9	port_row	2137980.9	
Haifa	2013	7	24163	Q3	2271838.4	port_row	2271838.4	
Haifa	2013	8	24164	Q3	2358908.1999999997	port_row	2358908.1999999997	
Haifa	2013	9	24165	Q3	1915923.0	port_row	1915923.0	
Haifa	2013	10	24166	Q4	1745361.9000000001	port_row	1745361.9000000001	
Haifa	2013	11	24167	Q4	1842282.4000000001	port_row	1842282.4000000001	
Haifa	2013	12	24168	Q4	2118601.6	port_row	2118601.6	
Haifa	2014	1	24169	Q1	2205212.9359999998	port_row	2205212.9359999998	
Haifa	2014	2	24170	Q1	1830651.171	port_row	1830651.171	
Haifa	2014	3	24171	Q1	2272564.187	port_row	2272564.187	
Haifa	2014	4	24172	Q2	2433022.507	port_row	2433022.507	
Haifa	2014	5	24173	Q2	2412002.048	port_row	2412002.048	
Haifa	2014	6	24174	Q2	2387710.084	port_row	2387710.084	
Haifa	2014	7	24175	Q3	2627396.197	port_row	2627396.197	
Haifa	2014	8	24176	Q3	2257762.444	port_row	2257762.444	
Haifa	2014	9	24177	Q3	2234985.833	port_row	2234985.833	
Haifa	2014	10	24178	Q4	2264157.298	port_row	2264157.298	
Haifa	2014	11	24179	Q4	2147511.7169999997	port_row	2147511.7169999997	
Haifa	2014	12	24180	Q4	2427180.4790000003	port_row	2427180.4790000003	
Haifa	2015	1	24181	Q1	2221024.496	port_row	2221024.496	
Haifa	2015	2	24182	Q1	2162030.125	port_row	2162030.125	
Haifa	2015	3	24183	Q1	2712242.33	port_row	2712242.33	
Haifa	2015	4	24184	Q2	2200941.6	port_row	2200941.6	
Haifa	2015	5	24185	Q2	2276690.3000000003	port_row	2276690.3000000003	
Haifa	2015	6	24186	Q2	2253838.4	port_row	2253838.4	
Haifa	2015	7	24187	Q3	2174053.5	port_row	2174053.5	
Haifa	2015	8	24188	Q3	2025907.0999999999	port_row	2025907.0999999999	
Haifa	2015	9	24189	Q3	2190489.9	port_row	2190489.9	
Haifa	2015	10	24190	Q4	2365033.3000000003	port_row	2365033.3000000003	
Haifa	2015	11	24191	Q4	2279477.5	port_row	2279477.5	
Haifa	2015	12	24192	Q4	2397698.6999999997	port_row	2397698.6999999997	
Haifa	2016	1	24193	Q1	2313453.611	port_row	2313453.611	
Haifa	2016	2	24194	Q1	2313537.246	port_row	2313537.246	
Haifa	2016	3	24195	Q1	2523987.039	port_row	2523987.039	
Haifa	2016	4	24196	Q2	2223569.113	port_row	2223569.113	
Haifa	2016	5	24197	Q2	2663624.3800000004	port_row	2663624.3800000004	
Haifa	2016	6	24198	Q2	2309499.557	port_row	2309499.557	
Haifa	2016	7	24199	Q3	2242265.803	port_row	2242265.803	
Haifa	2016	8	24200	Q3	2184177.0	port_row	2184177.0	
Haifa	2016	9	24201	Q3	2149087.2970000003	port_row	2149087.2970000003	
Haifa	2016	10	24202	Q4	2329787.3	port_row	2329787.3	
Haifa	2016	11	24203	Q4	2305655.3359999997	port_row	2305655.3359999997	
Haifa	2016	12	24204	Q4	2467926.2229999998	port_row	2467926.2229999998	
Haifa	2017	1	24205	Q1	2463603.01	port_row	2463603.01	
Haifa	2017	2	24206	Q1	2122782.523	port_row	2122782.523	
Haifa	2017	3	24207	Q1	2557766.9099999997	port_row	2557766.9099999997	
Haifa	2017	4	24208	Q2	2611991.3000000003	port_row	2611991.3000000003	
Haifa	2017	5	24209	Q2	2493674.14	port_row	2493674.14	
Haifa	2017	6	24210	Q2	2588712.2720000003	port_row	2588712.2720000003	
Haifa	2017	7	24211	Q3	2401290.3230000003	port_row	2401290.3230000003	
Haifa	2017	8	24212	Q3	2515560.25	port_row	2515560.25	
Haifa	2017	9	24213	Q3	2263360.16	port_row	2263360.16	
Haifa	2017	10	24214	Q4	2445451.0500000003	port_row	2445451.0500000003	
Haifa	2017	11	24215	Q4	2329070.546	port_row	2329070.546	
Haifa	2017	12	24216	Q4	2458541.686	port_row	2458541.686	
Haifa	2018	1	24217	Q1	2432458.313	port_row	2432458.313	
Haifa	2018	2	24218	Q1	2617941.7199999997	port_row	2617941.7199999997	
Haifa	2018	3	24219	Q1	2530486.29	port_row	2530486.29	
Haifa	2018	4	24220	Q2	2830216.76	port_row	2830216.76	
Haifa	2018	5	24221	Q2	2650406.0009999997	port_row	2650406.0009999997	
Haifa	2018	6	24222	Q2	2475433.3310000002	port_row	2475433.3310000002	
Haifa	2018	7	24223	Q3	2246470.07	port_row	2246470.07	
Haifa	2018	8	24224	Q3	2254746.21	port_row	2254746.21	
Haifa	2018	9	24225	Q3	2282924.06	port_row	2282924.06	
Haifa	2018	10	24226	Q4	2442325.644	port_row	2442325.644	
Haifa	2018	11	24227	Q4	2369774.08	port_row	2369774.08	
Haifa	2018	12	24228	Q4	2397849.86	port_row	2397849.86	
Haifa	2019	1	24229	Q1	2470007.68	port_row	2470007.68	
Haifa	2019	2	24230	Q1	2325576.96	port_row	2325576.96	
Haifa	2019	3	24231	Q1	2816989.27	port_row	2816989.27	
Haifa	2019	4	24232	Q2	2526060.42	port_row	2526060.42	
Haifa	2019	5	24233	Q2	2426771.23	port_row	2426771.23	
Haifa	2019	6	24234	Q2	2482651.89	port_row	2482651.89	
Haifa	2019	7	24235	Q3	2459658.8200000003	port_row	2459658.8200000003	
Haifa	2019	8	24236	Q3	2214668.53	port_row	2214668.53	
Haifa	2019	9	24237	Q3	2192670.23	port_row	2192670.23	
Haifa	2019	10	24238	Q4	2862368.2199999997	port_row	2862368.2199999997	
Haifa	2019	11	24239	Q4	2138066.59	port_row	2138066.59	
Haifa	2019	12	24240	Q4	2168776.42	port_row	2168776.42	
Haifa	2020	1	24241	Q1	2540187.838	port_row	2540187.838	
Haifa	2020	2	24242	Q1	2352277.288	port_row	2352277.288	
Haifa	2020	3	24243	Q1	2597155.57	port_row	2597155.57	
Haifa	2020	4	24244	Q2	2293926.19	port_row	2293926.19	
Haifa	2020	5	24245	Q2	2317983.4639999997	port_row	2317983.4639999997	
Haifa	2020	6	24246	Q2	1967243.95	port_row	1967243.95	
Haifa	2020	7	24247	Q3	1982088.98	port_row	1982088.98	
Haifa	2020	8	24248	Q3	2307125.04	port_row	2307125.04	
Haifa	2020	9	24249	Q3	2066419.62	port_row	2066419.62	
Haifa	2020	10	24250	Q4	2266698.5	port_row	2266698.5	
Haifa	2020	11	24251	Q4	2028255.7489999998	port_row	2028255.7489999998	
Haifa	2020	12	24252	Q4	2078591.4899999998	port_row	2078591.4899999998	
Haifa	2021	1	24253	Q1	1498345.5	port_row	1498345.5	
Haifa	2021	2	24254	Q1	1407982.0999999999	port_row	1407982.0999999999	
Haifa	2021	3	24255	Q1	1500388.3	port_row	1500388.3	
Haifa	2021	4	24256	Q2	1514385.0999999999	port_row	1514385.0999999999	
Haifa	2021	5	24257	Q2	1459727.5	port_row	1459727.5	
Haifa	2021	6	24258	Q2	1498401.0	port_row	1498401.0	
Haifa	2021	7	24259	Q3	1380398.8	port_row	1380398.8	6369.799999999999
Haifa	2021	8	24260	Q3	1403292.5	port_row	1403292.5	7100.0
Haifa	2021	9	24261	Q3	1291716.4	port_row	1291716.4	1730.3999999999999
Haifa	2021	10	24262	Q4	1492880.5	port_row	1492880.5	18082.8
Haifa	2021	11	24263	Q4	1367014.1	port_row	1367014.1	19484.0
Haifa	2021	12	24264	Q4	1424899.7	port_row	1424899.7	22448.0
Haifa	2022	1	24265	Q1	1461499.1	port_row	1461499.1	70229.389
Haifa	2022	2	24266	Q1	1459075.3	port_row	1459075.3	80312.83
Haifa	2022	3	24267	Q1	1592099.4000000001	port_row	1592099.4000000001	113695.78300000001
Haifa	2022	4	24268	Q2	1425364.8	port_row	1425364.8	183084.415
Haifa	2022	5	24269	Q2	1323138.6	port_row	1323138.6	294928.001
Haifa	2022	6	24270	Q2	1286279.2	port_row	1286279.2	259772.356
Haifa	2022	7	24271	Q3	1109435.5	port_row	1109435.5	356585.872
Haifa	2022	8	24272	Q3	1157608.5	port_row	1157608.5	389607.91000000003
Haifa	2022	9	24273	Q3	938265.2000000001	port_row	938265.2000000001	441155.69399999996
Haifa	2022	10	24274	Q4	926270.6	port_row	926270.6	465296.03500000003
Haifa	2022	11	24275	Q4	764510.0	port_row	764510.0	604526.071
Haifa	2022	12	24276	Q4	799310.5	port_row	799310.5	645669.523
Haifa	2023	1	24277	Q1	926311.6	port_row	926311.6	818797.296
Haifa	2023	2	24278	Q1	816343.7999999999	port_row	816343.7999999999	699640.591
Haifa	2023	3	24279	Q1	889686.5	port_row	889686.5	886173.937
Haifa	2023	4	24280	Q2	992506.2000000001	port_row	992506.2000000001	909574.218
Haifa	2023	5	24281	Q2	1172930.9000000001	port_row	1172930.9000000001	827134.322
Haifa	2023	6	24282	Q2	1065118.8	port_row	1065118.8	785214.804
Haifa	2023	7	24283	Q3	1067451.6	port_row	1067451.6	804568.525
