family	binned_variant	series_id	series_display	is_main_series	reform	reform_display	spec_name	bin_key	token	bin_label	a_bin	b_bin	is_reference	n_months_observed	a_used	b_used	beta	se	pvalue	n_obs	r2
binned	detailed	Haifa_port_KL	Aggregate port	1	competition	Competition clock	ctrl_trend	post_13_tail	post_13_tail	Post bin [13,24]	13	24	0	12	13.0	24.0	0.6920867889177196	0.2715326680047235	0.010808933498175759	37	0.5047644405201261
binned	detailed	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	baseline	pre_12_7	pre_12_7	Lead bin [-12,-7]	-12	-7	0	6	-12.0	-7.0	-0.272190970959199	0.03036073146360216	3.0963115838401375e-19	36	0.41800816770669413
binned	detailed	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	baseline	pre_6_2	pre_6_2	Lead bin [-6,-2]	-6	-2	0	5	-6.0	-2.0	-0.02904106238055615	0.019071822730600596	0.12782855590376652	36	0.41800816770669413
binned	detailed	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	baseline	ref_m1	-1	Reference month -1	-1	-1	1	1	-1.0	-1.0	0.0	0.0		36	0.41800816770669413
binned	detailed	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	baseline	m0	m0	Month 0	0	0	0	1	0.0	0.0	-0.08712941355624615			36	0.41800816770669413
binned	detailed	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	baseline	post_1_6	post_1_6	Post bin [1,6]	1	6	0	6	1.0	6.0	-0.21928346973110724	0.08236758683875973	0.007761919222840671	36	0.41800816770669413
binned	detailed	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	baseline	post_7_12	post_7_12	Post bin [7,12]	7	12	0	6	7.0	12.0	-0.3027146717313194	0.07286231293648217	3.258393570922579e-05	36	0.41800816770669413
binned	detailed	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	baseline	post_13_tail	post_13_tail	Post bin [13,23]	13	23	0	11	13.0	23.0	-0.1219784686705232	0.05930492869645947	0.03970531990366088	36	0.41800816770669413
binned	detailed	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	ctrl_trend	pre_12_7	pre_12_7	Lead bin [-12,-7]	-12	-7	0	6	-12.0	-7.0	-0.40214376498509763	0.09260162235885093	1.4072358055339183e-05	36	0.4691687136142112
binned	detailed	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	ctrl_trend	pre_6_2	pre_6_2	Lead bin [-6,-2]	-6	-2	0	5	-6.0	-2.0	-0.061529260887022375	0.02581969354772906	0.017170512104897787	36	0.4691687136142112
binned	detailed	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	ctrl_trend	ref_m1	-1	Reference month -1	-1	-1	1	1	-1.0	-1.0	0.0	0.0		36	0.4691687136142112
binned	detailed	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	ctrl_trend	m0	m0	Month 0	0	0	0	1	0.0	0.0	-0.06547061455191994	0.012953802663199369	4.322850327550622e-07	36	0.4691687136142112
binned	detailed	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	ctrl_trend	post_1_6	post_1_6	Post bin [1,6]	1	6	0	6	1.0	6.0	-0.12181887421168103	0.09985510794280679	0.22248141790978515	36	0.4691687136142112
binned	detailed	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	ctrl_trend	post_7_12	post_7_12	Post bin [7,12]	7	12	0	6	7.0	12.0	-0.16725553245861358	0.10254110194955675	0.10286769601067802	36	0.4691687136142112
binned	detailed	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	ctrl_trend	post_13_tail	post_13_tail	Post bin [13,23]	13	23	0	11	13.0	23.0	0.15160133700256795	0.20963968832472302	0.46958657197105913	36	0.4691687136142112
binned	compact	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	baseline	pre_12_2	pre_12_2	Lead bin [-12,-2]	-12	-2	0	11	-12.0	-2.0	-0.029041062380542826	0.019071822730578298	0.12782855590349582	36	0.25904447882940207
binned	compact	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	baseline	ref_m1	-1	Reference month -1	-1	-1	1	1	-1.0	-1.0	0.0	0.0		36	0.25904447882940207
binned	compact	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	baseline	m0	m0	Month 0	0	0	0	1	0.0	0.0	-0.08712941355623194			36	0.25904447882940207
binned	compact	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	baseline	post_1_6	post_1_6	Post bin [1,6]	1	6	0	6	1.0	6.0	-0.21928346973110546	0.08236758683874922	0.007761919222833326	36	0.25904447882940207
binned	compact	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	baseline	post_7_tail	post_7_tail	Post bin [7,23]	7	23	0	17	7.0	23.0	-0.1857677168096279	0.06798253910353994	0.006284043621632067	36	0.25904447882940207
binned	compact	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	ctrl_trend	pre_12_2	pre_12_2	Lead bin [-12,-2]	-12	-2	0	11	-12.0	-2.0	-0.01935193174464267	0.023808394452680667	0.4163214460275738	36	0.3090619618617998
binned	compact	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	ctrl_trend	ref_m1	-1	Reference month -1	-1	-1	1	1	-1.0	-1.0	0.0	0.0		36	0.3090619618617998
binned	compact	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	ctrl_trend	m0	m0	Month 0	0	0	0	1	0.0	0.0	-0.09358883398017781	0.01243619040869309	5.250980535729281e-14	36	0.3090619618617998
binned	compact	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	ctrl_trend	post_1_6	post_1_6	Post bin [1,6]	1	6	0	6	1.0	6.0	-0.2483508616388157	0.12016961748090235	0.038765323991211596	36	0.3090619618617998
binned	compact	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	ctrl_trend	post_7_tail	post_7_tail	Post bin [7,23]	7	23	0	17	7.0	23.0	-0.406260397598762	0.10461694385583073	0.00010304254414677803	36	0.3090619618617998
binned	detailed	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	baseline	pre_12_7	pre_12_7	Lead bin [-12,-7]	-12	-7	0	0						27	0.9594592272261699
binned	detailed	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	baseline	pre_6_2	pre_6_2	Lead bin [-6,-2]	-6	-2	0	1	-2.0	-2.0	0.11614057050234283	2.0504994919270976e-08	0.0	27	0.9594592272261699
binned	detailed	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	baseline	ref_m1	-1	Reference month -1	-1	-1	1	1	-1.0	-1.0	0.0	0.0		27	0.9594592272261699
binned	detailed	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	baseline	m0	m0	Month 0	0	0	0	1	0.0	0.0	4.90090967991856	9.554681279027727e-09	0.0	27	0.9594592272261699
binned	detailed	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	baseline	post_1_6	post_1_6	Post bin [1,6]	1	6	0	6	1.0	6.0	4.377011832598844	0.12035824623601357	1.4399763278783086e-289	27	0.9594592272261699
binned	detailed	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	baseline	post_7_12	post_7_12	Post bin [7,12]	7	12	0	6	7.0	12.0	3.385036045393929	0.09756989948870662	9.891674093894618e-264	27	0.9594592272261699
binned	detailed	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	baseline	post_13_tail	post_13_tail	Post bin [13,24]	13	24	0	12	13.0	24.0	2.9050194196047823	0.03340619609530858	0.0	27	0.9594592272261699
binned	detailed	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	ctrl_trend	pre_12_7	pre_12_7	Lead bin [-12,-7]	-12	-7	0	0						27	0.9714639593552423
binned	detailed	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	ctrl_trend	pre_6_2	pre_6_2	Lead bin [-6,-2]	-6	-2	0	1	-2.0	-2.0	0.06720923390017575	0.03252464106023575	0.03878981044408035	27	0.9714639593552423
binned	detailed	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	ctrl_trend	ref_m1	-1	Reference month -1	-1	-1	1	1	-1.0	-1.0	0.0	0.0		27	0.9714639593552423
binned	detailed	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	ctrl_trend	m0	m0	Month 0	0	0	0	1	0.0	0.0	4.9498410165207245	0.0325246410602341	0.0	27	0.9714639593552423
binned	detailed	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	ctrl_trend	post_1_6	post_1_6	Post bin [1,6]	1	6	0	6	1.0	6.0	4.305474820161402	0.18813288157606142	6.511207567469478e-116	27	0.9714639593552423
binned	detailed	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	ctrl_trend	post_7_12	post_7_12	Post bin [7,12]	7	12	0	6	7.0	12.0	3.3153590254223055	0.3518667654106824	4.4173398822215566e-21	27	0.9714639593552423
binned	detailed	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	ctrl_trend	post_13_tail	post_13_tail	Post bin [13,24]	13	24	0	12	13.0	24.0	3.0555334143429147	0.4800013113335681	1.9442992941887415e-10	27	0.9714639593552423
binned	detailed	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	baseline	pre_12_7	pre_12_7	Lead bin [-12,-7]	-12	-7	0	6	-12.0	-7.0	1.0671107774153619	0.2183637972443212	1.024629194925933e-06	36	0.720850770559998
binned	detailed	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	baseline	pre_6_2	pre_6_2	Lead bin [-6,-2]	-6	-2	0	5	-6.0	-2.0	0.14305974945578637	0.030397131752986292	2.52182913864643e-06	36	0.720850770559998
binned	detailed	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	baseline	ref_m1	-1	Reference month -1	-1	-1	1	1	-1.0	-1.0	0.0	0.0		36	0.720850770559998
binned	detailed	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	baseline	m0	m0	Month 0	0	0	0	1	0.0	0.0	-0.00596000556370857	4.497240323074476e-08	0.0	36	0.720850770559998
binned	detailed	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	baseline	post_1_6	post_1_6	Post bin [1,6]	1	6	0	6	1.0	6.0	-0.02888648623533907	0.01793548049701789	0.10727178161248513	36	0.720850770559998
binned	detailed	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	baseline	post_7_12	post_7_12	Post bin [7,12]	7	12	0	6	7.0	12.0	0.3501313318172836	0.08816017341417964	7.141060680799926e-05	36	0.720850770559998
binned	detailed	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	baseline	post_13_tail	post_13_tail	Post bin [13,23]	13	23	0	11	13.0	23.0	0.4771513632009343	0.03560197408920441	5.855089621199846e-41	36	0.720850770559998
binned	detailed	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	pre_12_7	pre_12_7	Lead bin [-12,-7]	-12	-7	0	6	-12.0	-7.0	0.9048863658376138	0.285816729759783	0.0015456826969930013	36	0.7604414970245663
binned	detailed	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	pre_6_2	pre_6_2	Lead bin [-6,-2]	-6	-2	0	5	-6.0	-2.0	0.10250364656134803	0.05493449163956153	0.062051845969578454	36	0.7604414970245663
binned	detailed	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	ref_m1	-1	Reference month -1	-1	-1	1	1	-1.0	-1.0	0.0	0.0		36	0.7604414970245663
binned	detailed	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	m0	m0	Month 0	0	0	0	1	0.0	0.0	0.021077396365919654	0.034228709359061346	0.538038924573681	36	0.7604414970245663
binned	detailed	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	post_1_6	post_1_6	Post bin [1,6]	1	6	0	6	1.0	6.0	0.09278182244797373	0.15464332201596573	0.5485242099151629	36	0.7604414970245663
binned	detailed	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	post_7_12	post_7_12	Post bin [7,12]	7	12	0	6	7.0	12.0	0.3016402846472839	0.2942662098341676	0.30533525685612495	36	0.7604414970245663
binned	detailed	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	post_13_tail	post_13_tail	Post bin [13,23]	13	23	0	11	13.0	23.0	0.4922863487172193	0.5871146186898507	0.4017588011959492	36	0.7604414970245663
binned	compact	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	baseline	pre_12_2	pre_12_2	Lead bin [-12,-2]	-12	-2	0	11	-12.0	-2.0	0.1430597494557886	0.030397131752859154	2.521829138402133e-06	36	0.5172256675611413
binned	compact	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	baseline	ref_m1	-1	Reference month -1	-1	-1	1	1	-1.0	-1.0	0.0	0.0		36	0.5172256675611413
binned	compact	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	baseline	m0	m0	Month 0	0	0	0	1	0.0	0.0	-0.005960005563703241			36	0.5172256675611413
binned	compact	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	baseline	post_1_6	post_1_6	Post bin [1,6]	1	6	0	6	1.0	6.0	-0.028886486235340403	0.01793548049692942	0.10727178161073629	36	0.5172256675611413
binned	compact	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	baseline	post_7_tail	post_7_tail	Post bin [7,23]	7	23	0	17	7.0	23.0	0.4323207638890585	0.05260635590623676	2.0686821302689851e-16	36	0.5172256675611413
binned	compact	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	pre_12_2	pre_12_2	Lead bin [-12,-2]	-12	-2	0	11	-12.0	-2.0	0.08983740780006233	0.04947870321679414	0.06941973451027007	36	0.6030179561847937
binned	compact	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	ref_m1	-1	Reference month -1	-1	-1	1	1	-1.0	-1.0	0.0	0.0		36	0.6030179561847937
binned	compact	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	m0	m0	Month 0	0	0	0	1	0.0	0.0	0.029521555540109823	0.030363758499851054	0.3309197814068402	36	0.6030179561847937
binned	compact	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	post_1_6	post_1_6	Post bin [1,6]	1	6	0	6	1.0	6.0	0.1307805387318388	0.13480022439879039	0.3319565671799317	36	0.6030179561847937
binned	compact	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	post_7_tail	post_7_tail	Post bin [7,23]	7	23	0	17	7.0	23.0	0.37341563762791896	0.2608563792927714	0.152287262675825	36	0.6030179561847937
