family	series_id	series_display	is_main_series	reform	reform_display	spec_name	bin_key	token	bin_label	a_bin	b_bin	is_reference	n_months_observed	a_used	b_used	beta	se	pvalue	n_obs	r2
binned	Haifa_port_KL	Aggregate port	1	competition	Competition clock	baseline	post_7_12	post_7_12	Post bin [7,12]	7	12	0	6	7.0	12.0	0.038637888482353056	0.046314261582523546	0.4041374963274965	37	0.41374535261883516
binned	Haifa_port_KL	Aggregate port	1	competition	Competition clock	baseline	post_13_tail	post_13_tail	Post bin [13,24]	13	24	0	12	13.0	24.0	0.3411230575216404	0.014845674605025897	7.747140502852129e-117	37	0.41374535261883516
binned	Haifa_port_KL	Aggregate port	1	competition	Competition clock	ctrl_trend	pre_12_7	pre_12_7	Lead bin [-12,-7]	-12	-7	0	6	-12.0	-7.0	-0.0842674268646686	0.15125080354822332	0.5774337937039733	37	0.4978796090623645
binned	Haifa_port_KL	Aggregate port	1	competition	Competition clock	ctrl_trend	pre_6_2	pre_6_2	Lead bin [-6,-2]	-6	-2	0	5	-6.0	-2.0	-0.09669183603437581	0.0583921334874729	0.09774102342185681	37	0.4978796090623645
binned	Haifa_port_KL	Aggregate port	1	competition	Competition clock	ctrl_trend	ref_m1	-1	Reference month -1	-1	-1	1	1	-1.0	-1.0	0.0	0.0		37	0.4978796090623645
binned	Haifa_port_KL	Aggregate port	1	competition	Competition clock	ctrl_trend	m0	m0	Month 0	0	0	0	1	0.0	0.0	0.13401854657339918	0.017756753273675673	4.4379780483064476e-14	37	0.4978796090623645
binned	Haifa_port_KL	Aggregate port	1	competition	Competition clock	ctrl_trend	post_1_6	post_1_6	Post bin [1,6]	1	6	0	6	1.0	6.0	0.07763305524458053	0.05524128039993154	0.1599187236640266	37	0.4978796090623645
binned	Haifa_port_KL	Aggregate port	1	competition	Competition clock	ctrl_trend	post_7_12	post_7_12	Post bin [7,12]	7	12	0	6	7.0	12.0	0.35666471503063457	0.14674545980615022	0.015078041505838415	37	0.4978796090623645
binned	Haifa_port_KL	Aggregate port	1	competition	Competition clock	ctrl_trend	post_13_tail	post_13_tail	Post bin [13,24]	13	24	0	12	13.0	24.0	0.7527178863188082	0.22188477782880683	0.000692878142652171	37	0.4978796090623645
binned	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	baseline	pre_12_7	pre_12_7	Lead bin [-12,-7]	-12	-7	0	6	-12.0	-7.0	-0.46471706599826756	0.01821396118777612	1.3668640160114852e-143	36	0.3891558601684115
binned	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	baseline	pre_6_2	pre_6_2	Lead bin [-6,-2]	-6	-2	0	5	-6.0	-2.0	-0.1445567194039885	0.04415026196480577	0.0010596216591670976	36	0.3891558601684115
binned	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	baseline	ref_m1	-1	Reference month -1	-1	-1	1	1	-1.0	-1.0	0.0	0.0		36	0.3891558601684115
binned	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	baseline	m0	m0	Month 0	0	0	0	1	0.0	0.0	-0.08712941355623904	7.268270141812009e-09	0.0	36	0.3891558601684115
binned	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	baseline	post_1_6	post_1_6	Post bin [1,6]	1	6	0	6	1.0	6.0	-0.21928346973111257	0.08236758683875771	0.007761919222837673	36	0.3891558601684115
binned	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	baseline	post_7_12	post_7_12	Post bin [7,12]	7	12	0	6	7.0	12.0	-0.3027146717313265	0.07286231293647896	3.2583935709185756e-05	36	0.3891558601684115
binned	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	baseline	post_13_tail	post_13_tail	Post bin [13,23]	13	23	0	11	13.0	23.0	-0.12197846867052675	0.05930492869645926	0.0397053199036544	36	0.3891558601684115
binned	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	ctrl_trend	pre_12_7	pre_12_7	Lead bin [-12,-7]	-12	-7	0	6	-12.0	-7.0	-0.609625805447596	0.12507448483339467	1.0930446851546696e-06	36	0.424018345076833
binned	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	ctrl_trend	pre_6_2	pre_6_2	Lead bin [-6,-2]	-6	-2	0	5	-6.0	-2.0	-0.1957009803861114	0.05597871609869881	0.0004723080221312992	36	0.424018345076833
binned	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	ctrl_trend	ref_m1	-1	Reference month -1	-1	-1	1	1	-1.0	-1.0	0.0	0.0		36	0.424018345076833
binned	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	ctrl_trend	m0	m0	Month 0	0	0	0	1	0.0	0.0	-0.07008132656220134	0.013539077214661502	2.2641889232835334e-07	36	0.424018345076833
binned	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	ctrl_trend	post_1_6	post_1_6	Post bin [1,6]	1	6	0	6	1.0	6.0	-0.1425670782579287	0.09986487879264105	0.15340708910668355	36	0.424018345076833
binned	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	ctrl_trend	post_7_12	post_7_12	Post bin [7,12]	7	12	0	6	7.0	12.0	-0.20644658454598197	0.109578135554745	0.05956327549980449	36	0.424018345076833
binned	Haifa_port_KL	Aggregate port	1	privatization	Privatization clock	ctrl_trend	post_13_tail	post_13_tail	Post bin [13,23]	13	23	0	11	13.0	23.0	0.07782994483812278	0.213635838040567	0.7156255802896211	36	0.424018345076833
binned	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	baseline	pre_12_7	pre_12_7	Lead bin [-12,-7]	-12	-7	0	0						27	0.9590273811065695
binned	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	baseline	pre_6_2	pre_6_2	Lead bin [-6,-2]	-6	-2	0	1	-2.0	-2.0	0.1161405705023455	1.862365762282602e-08	0.0	27	0.9590273811065695
binned	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	baseline	ref_m1	-1	Reference month -1	-1	-1	1	1	-1.0	-1.0	0.0	0.0		27	0.9590273811065695
binned	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	baseline	m0	m0	Month 0	0	0	0	1	0.0	0.0	4.90090967991855	2.6382359670559432e-08	0.0	27	0.9590273811065695
binned	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	baseline	post_1_6	post_1_6	Post bin [1,6]	1	6	0	6	1.0	6.0	4.377011832598838	0.12035824623601615	1.4399763279215596e-289	27	0.9590273811065695
binned	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	baseline	post_7_12	post_7_12	Post bin [7,12]	7	12	0	6	7.0	12.0	3.3850360453939268	0.0975698994887077	9.891674094035303e-264	27	0.9590273811065695
binned	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	baseline	post_13_tail	post_13_tail	Post bin [13,24]	13	24	0	12	13.0	24.0	2.9050194196047836	0.03340619609531131	0.0	27	0.9590273811065695
binned	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	ctrl_trend	pre_12_7	pre_12_7	Lead bin [-12,-7]	-12	-7	0	0						27	0.9686059974989581
binned	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	ctrl_trend	pre_6_2	pre_6_2	Lead bin [-6,-2]	-6	-2	0	1	-2.0	-2.0	0.09383645071050228	0.02667345713219936	0.00043485975662465	27	0.9686059974989581
binned	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	ctrl_trend	ref_m1	-1	Reference month -1	-1	-1	1	1	-1.0	-1.0	0.0	0.0		27	0.9686059974989581
binned	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	ctrl_trend	m0	m0	Month 0	0	0	0	1	0.0	0.0	4.923213799710389	0.026673457132213054	0.0	27	0.9686059974989581
binned	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	ctrl_trend	post_1_6	post_1_6	Post bin [1,6]	1	6	0	6	1.0	6.0	4.225593169730413	0.1686410871593399	1.474788992333215e-138	27	0.9686059974989581
binned	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	ctrl_trend	post_7_12	post_7_12	Post bin [7,12]	7	12	0	6	7.0	12.0	3.1156548993448405	0.3160250997209192	6.274266387246238e-23	27	0.9686059974989581
binned	Haifa_Bayport_KL	Haifa-Bayport	0	competition	Competition clock	ctrl_trend	post_13_tail	post_13_tail	Post bin [13,24]	13	24	0	12	13.0	24.0	2.7360068126189807	0.4096199253140373	2.3995652403942545e-11	27	0.9686059974989581
binned	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	baseline	pre_12_7	pre_12_7	Lead bin [-12,-7]	-12	-7	0	6	-12.0	-7.0	1.28684240456248	0.2224236469811164	7.227686207335296e-09	36	0.714186824105222
binned	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	baseline	pre_6_2	pre_6_2	Lead bin [-6,-2]	-6	-2	0	5	-6.0	-2.0	0.2748987257440607	0.05055920682967788	5.4135147113183684e-08	36	0.714186824105222
binned	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	baseline	ref_m1	-1	Reference month -1	-1	-1	1	1	-1.0	-1.0	0.0	0.0		36	0.714186824105222
binned	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	baseline	m0	m0	Month 0	0	0	0	1	0.0	0.0	-0.005960005563712123	4.6482234125836545e-08	0.0	36	0.714186824105222
binned	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	baseline	post_1_6	post_1_6	Post bin [1,6]	1	6	0	6	1.0	6.0	-0.02888648623534129	0.017935480497028495	0.10727178161266594	36	0.714186824105222
binned	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	baseline	post_7_12	post_7_12	Post bin [7,12]	7	12	0	6	7.0	12.0	0.3501313318172823	0.08816017341418077	7.141060680801888e-05	36	0.714186824105222
binned	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	baseline	post_13_tail	post_13_tail	Post bin [13,23]	13	23	0	11	13.0	23.0	0.47715136320093254	0.03560197408920107	5.85508962110447e-41	36	0.714186824105222
binned	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	pre_12_7	pre_12_7	Lead bin [-12,-7]	-12	-7	0	6	-12.0	-7.0	1.032853010782242	0.35629269157157395	0.00374487289968597	36	0.7573961355227737
binned	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	pre_6_2	pre_6_2	Lead bin [-6,-2]	-6	-2	0	5	-6.0	-2.0	0.18525541029220616	0.09859286921520723	0.06024531166512722	36	0.7573961355227737
binned	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	ref_m1	-1	Reference month -1	-1	-1	1	1	-1.0	-1.0	0.0	0.0		36	0.7573961355227737
binned	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	m0	m0	Month 0	0	0	0	1	0.0	0.0	0.023921099586906358	0.03400804479731151	0.4818094216501638	36	0.7573961355227737
binned	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	post_1_6	post_1_6	Post bin [1,6]	1	6	0	6	1.0	6.0	0.10557848694243566	0.15342587385229245	0.491364598271544	36	0.7573961355227737
binned	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	post_7_12	post_7_12	Post bin [7,12]	7	12	0	6	7.0	12.0	0.32581176202571305	0.29226516986324236	0.2649441282945678	36	0.7573961355227737
binned	Haifa_Bayport_KL	Haifa-Bayport	0	privatization	Privatization clock	ctrl_trend	post_13_tail	post_13_tail	Post bin [13,23]	13	23	0	11	13.0	23.0	0.5377856002530814	0.5850984194514333	0.35802392350668544	36	0.7573961355227737
